CorridorOrigin;CorridorDestination;TransportationCostPerContainerAutomatic;TransportationCostPerContainerManual;TransportationCostPerContainerSubcontractor;HasHighway;TaxPerContainer

Reception001;Plant001;10;10;350;0;0
Reception001;Plant002;15;15;450;1;10,9
Reception001;Plant003;13;20;300;1;8,10
Reception001;Plant004;14;25;340;1;5,6
Reception001;Plant005;18;34;290;1;10,9
Reception001;Plant006;13;20;500;1;8,1
Reception001;Plant007;10;15;420;1;6

Reception002;Plant001;16;16;550;1;10,9
Reception002;Plant002;8;8;380;0;0
Reception002;Plant003;10;6;420;0;0
Reception002;Plant004;13;3;550;1;12
Reception002;Plant005;16;9;550;1;11,1
Reception002;Plant006;14;4;380;1;10
Reception002;Plant007;15;14;420;1;13,4

Reception003;Plant001;17;8;380;1;10,4
Reception003;Plant002;12;10;340;0;0
Reception003;Plant003;15;14;360;0;0
Reception003;Plant004;10;20;350;1;14
Reception003;Plant005;15;15;450;1;10,9
Reception003;Plant006;13;27;300;1;7,6
Reception003;Plant007;13;25;400;1;13,6

Reception004;Plant001;18;23;375;1;23,1
Reception004;Plant002;13;34;410;1;20,1
Reception004;Plant003;20;45;300;1;11,4
Reception004;Plant004;16;13;290;0;0
Reception004;Plant005;18;26;345;0;0
Reception004;Plant006;10;31;390;1;16
Reception004;Plant007;6;10;420;1;5,4

Reception005;Plant001;13;13;270;1;8,1
Reception005;Plant002;8;18;385;1;10,9
Reception005;Plant003;10;31;320;1;6,2
Reception005;Plant004;20;28;200;0;0
Reception005;Plant005;14;34;280;0;0
Reception005;Plant006;18;24;360;1;10,3
Reception005;Plant007;21;45;410;1;13,2

Reception006;Plant001;9;24;340;1;13,6
Reception006;Plant002;15;21;410;1;12
Reception006;Plant003;14;34;345;1;8
Reception006;Plant004;8;21;510;1;7,1
Reception006;Plant005;21;34;230;1;8,1
Reception006;Plant006;18;48;470;0;0
Reception006;Plant007;7;19;430;0;0

Reception007;Plant001;6;28;345;1;15,2
Reception007;Plant002;8;41;500;1;12,4
Reception007;Plant003;10;23;415;1;8
Reception007;Plant004;9;29;320;1;6,7
Reception007;Plant005;12;35;330;1;14,2
Reception007;Plant006;14;25;450;0;0
Reception007;Plant007;8;20;315;0;0
